"","Country","GDP","lon","lat"
"1","Angola",1900,17.873887,-11.202692
"2","Argentina",11200,-63.616672,-38.416097
"3","Australia",29000,133.775136,-25.274398
"4","Austria",30000,14.550072,47.516231
"5","Azerbaijan",3400,47.576927,40.143105
"6","Belarus",6100,27.953389,53.709807
"7","Belgium",29100,4.469936,50.503887
"8","Bolivia",2400,-63.588653,-16.290154
"9","Bosnia & Herzegovina",6100,NA,NA
"10","Brazil",7600,-51.92528,-14.235004
"11","Bulgaria",7600,25.48583,42.733883
"12","Cameroon",1800,12.354722,7.369722
"13","Chile",9900,-71.542969,-35.675147
"14","China",5000,104.195397,35.86166
"15","Colombia",6300,-74.297333,4.570868
"16","Congo, Dem. Rep.",700,NA,NA
"17","Croatia",10600,15.2000001,45.1
"18","Cyprus",19200,33.429859,35.126413
"19","Czech Republic",15700,15.472962,49.817492
"20","Denmark",31100,9.501785,56.26392
"21","Ecuador",3300,-78.183406,-1.831239
"22","Egypt",4000,30.802498,26.820553
"23","El Salvador",4800,-88.89653,13.794185
"24","Estonia",12300,25.0136071,58.595272
"25","Finland",27400,25.7481511,61.92411
"26","France",27600,2.213749,46.227638
"27","Georgia",2500,-82.9000751,32.1656221
"28","Germany",27600,10.451526,51.165691
"29","Ghana",2200,-1.023194,7.946527
"30","Greece",20000,21.824312,39.074208
"31","Guatemala",4100,-90.230759,15.783471
"32","Honduras",2600,-86.241905,15.199999
"33","Hungary",13900,19.5033041,47.162494
"34","India",2900,78.96288,20.593684
"35","Indonesia",3200,113.921327,-0.789275
"36","Iran",7000,53.688046,32.427908
"37","Ireland",29600,-7.6920536,53.1423672
"38","Israel",19800,34.851612,31.046051
"39","Italy",26700,12.56738,41.87194
"40","Japan",28200,138.252924,36.204824
"41","Kazakhstan",6300,66.923684,48.019573
"42","Latvia",10200,24.603189,56.879635
"43","Lebanon",4800,35.862285,33.854721
"44","Lithuania",11400,23.881275,55.169438
"45","Macedonia",6700,NA,NA
"46","Mali",900,-3.996166,17.570692
"47","Mexico",9000,-102.552784,23.634501
"48","Moldova",1800,28.369885,47.411631
"49","Morocco",4000,-7.09262,31.791702
"50","Netherlands",28600,5.291266,52.132633
"51","New Zealand",21600,174.885971,-40.900557
"52","Nicaragua",2300,-85.207229,12.865416
"53","Nigeria",900,8.675277,9.081999
"54","Norway",37800,8.468946,60.472024
"55","Panama",6300,-80.782127,8.537981
"56","Papua New Guinea",2200,NA,NA
"57","Paraguay",4700,-58.443832,-23.442503
"58","Peru",5100,-75.015152,-9.189967
"59","Poland",11100,19.145136,51.919438
"60","Portugal",18000,-8.224454,39.399872
"61","Puerto Rico",16800,-66.590149,18.220833
"62","Qatar",21500,51.183884,25.354826
"63","Romania",7000,24.96676,45.943161
"64","Russia",8900,105.318756,61.52401
"65","Saudi Arabia",11800,45.079162,23.885942
"66","Scotland",29600,-4.2026458,56.4906712
"67","Serbia",2200,21.005859,44.016521
"68","Slovakia",13300,19.699024,48.669026
"69","Slovenia",19000,14.995463,46.151241
"70","South Africa",10700,22.937506,-30.559482
"71","Spain",22000,-3.74922,40.463667
"72","Sudan",1900,30.217636,12.862807
"73","Sweden",26800,18.643501,60.128161
"74","Switzerland",32700,8.227512,46.818188
"75","Thailand",7400,100.992541,15.870032
"76","Trinidad & Tobago",9500,-61.222503,10.691803
"77","Tunisia",6900,9.537499,33.886917
"78","Turkey",6700,35.243322,38.963745
"79","Ukraine",5400,31.1655799,48.379433
"80","United Kingdom",31976,-3.435973,55.378051
"81","United States",37800,-95.712891,37.09024
"82","Uruguay",12800,-55.765835,-32.522779
"83","Uzbekistan",1700,64.585262,41.377491
"84","Venezuela",4800,-66.58973,6.42375
"85","Wales",23800,-3.7837117,52.1306607
"86","Zambia",800,27.849332,-13.133897
"87","Zimbabwe",1900,29.154857,-19.015438
